model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,10x1,11,0.1775,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,No budget,12,0.1725,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,1x4,0,0.435,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,2x1,1,0.4225,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,2x2,2,0.585,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,3x1,3,0.5,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,3x2,4,0.64,3x2 → 6x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,4x1,5,0.575,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,5x1,6,0.63,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,6x1,7,0.645,3x2 → 6x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,7x1,8,0.7025,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,8x1,9,0.6175,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,9x1,10,0.65,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,10x1,11,0.6925,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,1,No budget,12,0.75,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,1x4,0,0.2325,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,2x1,1,0.09,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,2x2,2,0.27,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,3x1,3,0.2225,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,3x2,4,0.435,3x2 → 6x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,4x1,5,0.31,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,5x1,6,0.38,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,6x1,7,0.395,3x2 → 6x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,7x1,8,0.445,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,8x1,9,0.4,
